Price,Area,City,Bedrooms,Bathrooms,Location,Property_Type,Built_in_year,Parking_space,Servant_Quarters,Store_rooms,Kitchens,Drawing_Rooms
9.6 Crore,7.1 Marla,Islamabad,2 Beds,2 Baths,"Blue Area, Islamabad, Islamabad Capital",Flat,,,,,,
6.75 Crore,8 Marla,Islamabad,5 Beds,6 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
12.95 Crore,15 Marla,Islamabad,9 Beds,7 Baths,"G-10, Islamabad, Islamabad Capital",House,,,,,,
80 Lakh,5 Marla,Islamabad,2 Beds,2 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.85 Crore,10 Marla,Islamabad,5 Beds,6 Baths,"Top City 1, Islamabad, Islamabad Capital",House,,,,,,
3.75 Crore,5.7 Kanal,Islamabad,2 Beds,2 Baths,"GT Road, Islamabad, Islamabad Capital",Farm House,,,,,,
12.75 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
3.7 Crore,8 Marla,Islamabad,6 Beds,6 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
18 Crore,1.5 Kanal,Islamabad,6 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
11.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
30 Crore,1.3 Kanal,Islamabad,9 Beds,7 Baths,"F-11, Islamabad, Islamabad Capital",House,,,,,,
3.2 Crore,6 Marla,Islamabad,5 Beds,6 Baths,"I-14, Islamabad, Islamabad Capital",House,,,,,,
2.5 Crore,5 Marla,Islamabad,4 Beds,4 Baths,"Faisal Hills, Islamabad, Islamabad Capital",House,,,,,,
4.44 Crore,4 Marla,Islamabad,5 Beds,5 Baths,"G-13, Islamabad, Islamabad Capital",House,,,,,,
13 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"G-10, Islamabad, Islamabad Capital",House,,,,,,
9.75 Crore,9.3 Marla,Islamabad,4 Beds,4 Baths,"F-11, Islamabad, Islamabad Capital",House,,,,,,
1.6 Crore,5 Marla,Islamabad,3 Beds,4 Baths,"Bani Gala, Islamabad, Islamabad Capital",House,,,,,,
1.9 Crore,5 Marla,Islamabad,4 Beds,6 Baths,"H-13, Islamabad, Islamabad Capital",House,,,,,,
8.6 Crore,1 Kanal,Islamabad,5 Beds,5 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
14.5 Crore,1 Kanal,Islamabad,5 Beds,6 Baths,"DHA Defence, Islamabad, Islamabad Capital",House,,,,,,
24.5 Crore,1 Kanal,Islamabad,6 Beds,6 Baths,"F-8, Islamabad, Islamabad Capital",House,,,,,,
